RIDE_ID,driver_id,created_date_local,driver_rating,distance_travelled,total_fare,hour_of_day,day_of_week,hour_block,year,month
1172012,2456,2017-03-12 09:00:37-05:00,5.0,1837.0,12.12,9,Sunday,8-11,2017,3
1172016,846,2017-03-12 08:57:49-05:00,5.0,5244.0,18.36,8,Sunday,8-11,2017,3
1172023,1078,2017-03-12 08:59:24-05:00,5.0,2562.0,12.31,8,Sunday,8-11,2017,3
1172032,1991,2017-03-12 08:58:25-05:00,5.0,3072.0,10.52,8,Sunday,8-11,2017,3
1172087,2312,2017-03-12 09:06:44-05:00,5.0,3128.0,10.84,9,Sunday,8-11,2017,3
1172129,1577,2017-03-12 09:05:16-05:00,5.0,7077.0,26.36,9,Sunday,8-11,2017,3
1172144,2229,2017-03-12 08:55:23-05:00,5.0,8795.0,17.32,8,Sunday,8-11,2017,3
1172160,1636,2017-03-12 09:07:11-05:00,5.0,25545.0,31.23,9,Sunday,8-11,2017,3
1172177,2456,2017-03-12 09:15:44-05:00,5.0,3314.0,11.58,9,Sunday,8-11,2017,3
1172185,1078,2017-03-12 09:12:19-05:00,5.0,9362.0,20.85,9,Sunday,8-11,2017,3
1172187,1991,2017-03-12 09:15:12-05:00,5.0,36389.0,50.64,9,Sunday,8-11,2017,3
1172208,846,2017-03-12 09:12:51-05:00,,18474.0,27.92,9,Sunday,8-11,2017,3
1172276,2312,2017-03-12 09:17:47-05:00,5.0,7480.0,16.16,9,Sunday,8-11,2017,3
1172301,458,2017-03-12 09:25:10-05:00,5.0,1528.0,7.78,9,Sunday,8-11,2017,3
1172313,4137,2017-03-12 09:23:24-05:00,5.0,25821.0,36.74,9,Sunday,8-11,2017,3
1172347,2456,2017-03-12 09:27:51-05:00,5.0,2755.0,11.53,9,Sunday,8-11,2017,3
1172352,2229,2017-03-12 09:29:34-05:00,5.0,4561.0,10.65,9,Sunday,8-11,2017,3
1172404,3402,2017-03-12 09:33:13-05:00,5.0,15353.0,24.89,9,Sunday,8-11,2017,3
1172428,458,2017-03-12 09:37:40-05:00,4.0,1671.0,7.07,9,Sunday,8-11,2017,3
1172456,153,2017-03-12 09:36:16-05:00,5.0,15971.0,17.74,9,Sunday,8-11,2017,3
1172496,2229,2017-03-12 09:39:43-05:00,5.0,4412.0,11.37,9,Sunday,8-11,2017,3
1172520,2312,2017-03-12 09:42:49-05:00,5.0,4398.0,13.15,9,Sunday,8-11,2017,3
1172572,458,2017-03-12 09:46:24-05:00,5.0,2464.0,8.42,9,Sunday,8-11,2017,3
1172590,2456,2017-03-12 09:46:14-05:00,5.0,3269.0,8.36,9,Sunday,8-11,2017,3
1172604,1577,2017-03-12 09:46:48-05:00,5.0,12236.0,23.51,9,Sunday,8-11,2017,3
1172613,846,2017-03-12 09:50:12-05:00,5.0,11985.0,23.65,9,Sunday,8-11,2017,3
1172630,1636,2017-03-12 09:45:58-05:00,5.0,7670.0,16.92,9,Sunday,8-11,2017,3
1172645,1078,2017-03-12 09:53:30-05:00,5.0,2893.0,8.37,9,Sunday,8-11,2017,3
1172665,2229,2017-03-12 09:53:43-05:00,5.0,3497.0,12.46,9,Sunday,8-11,2017,3
1172706,1570,2017-03-12 09:44:42-05:00,5.0,9156.0,17.13,9,Sunday,8-11,2017,3
1172729,4137,2017-03-12 09:59:59-05:00,3.0,8308.0,18.29,9,Sunday,8-11,2017,3
1172757,2456,2017-03-12 10:03:54-05:00,5.0,2633.0,9.47,10,Sunday,8-11,2017,3
1172759,2312,2017-03-12 10:02:51-05:00,5.0,3814.0,10.26,10,Sunday,8-11,2017,3
1172763,2372,2017-03-12 10:02:31-05:00,5.0,2988.0,18.46,10,Sunday,8-11,2017,3
1172772,2229,2017-03-12 10:05:46-05:00,5.0,1392.0,10.1,10,Sunday,8-11,2017,3
1172808,1577,2017-03-12 10:09:42-05:00,5.0,912.0,11.11,10,Sunday,8-11,2017,3
1172823,153,2017-03-12 10:03:40-05:00,5.0,4122.0,13.93,10,Sunday,8-11,2017,3
1172832,1991,2017-03-12 09:59:47-05:00,4.0,955.0,6.06,9,Sunday,8-11,2017,3
1172837,1636,2017-03-12 10:06:09-05:00,5.0,8569.0,21.2,10,Sunday,8-11,2017,3
1172839,458,2017-03-12 10:02:03-05:00,5.0,4668.0,11.32,10,Sunday,8-11,2017,3
1172879,3402,2017-03-12 10:06:02-05:00,5.0,20901.0,21.29,10,Sunday,8-11,2017,3
1172881,1078,2017-03-12 10:09:57-05:00,5.0,1680.0,10.1,10,Sunday,8-11,2017,3
1172910,654,2017-03-12 09:59:04-05:00,5.0,14246.0,16.27,9,Sunday,8-11,2017,3
1172934,2229,2017-03-12 10:16:36-05:00,5.0,5822.0,14.55,10,Sunday,8-11,2017,3
1172951,2312,2017-03-12 10:15:26-05:00,5.0,5360.0,13.01,10,Sunday,8-11,2017,3
1172984,458,2017-03-12 10:19:38-05:00,5.0,7410.0,24.43,10,Sunday,8-11,2017,3
1173004,4137,2017-03-12 10:20:51-05:00,5.0,1514.0,7.07,10,Sunday,8-11,2017,3
1173019,2364,2017-03-12 10:20:42-05:00,5.0,6177.0,17.15,10,Sunday,8-11,2017,3
1173049,1570,2017-03-12 10:21:40-05:00,5.0,12110.0,23.53,10,Sunday,8-11,2017,3
1173054,846,2017-03-12 10:19:30-05:00,5.0,7357.0,18.58,10,Sunday,8-11,2017,3
1173067,4008,2017-03-12 10:24:25-05:00,4.0,2869.0,13.35,10,Sunday,8-11,2017,3
1173097,1991,2017-03-12 10:19:12-05:00,1.0,1424.0,8.08,10,Sunday,8-11,2017,3
1173157,2312,2017-03-12 10:30:08-05:00,5.0,5734.0,16.41,10,Sunday,8-11,2017,3
1173164,1078,2017-03-12 10:31:29-05:00,5.0,6535.0,16.16,10,Sunday,8-11,2017,3
1173199,153,2017-03-12 10:30:27-05:00,5.0,3818.0,12.23,10,Sunday,8-11,2017,3
1173207,1636,2017-03-12 10:31:38-05:00,5.0,2440.0,9.6,10,Sunday,8-11,2017,3
1173217,2229,2017-03-12 10:29:32-05:00,5.0,6895.0,17.05,10,Sunday,8-11,2017,3
1173231,4137,2017-03-12 10:32:58-05:00,,4567.0,15.74,10,Sunday,8-11,2017,3
1173247,654,2017-03-12 10:35:32-05:00,5.0,2550.0,10.17,10,Sunday,8-11,2017,3
1173308,1991,2017-03-12 10:36:03-05:00,1.0,10624.0,17.38,10,Sunday,8-11,2017,3
1173362,1636,2017-03-12 10:47:04-05:00,5.0,947.0,8.08,10,Sunday,8-11,2017,3
1173366,846,2017-03-12 10:42:34-05:00,5.0,668.0,8.08,10,Sunday,8-11,2017,3
1173424,4008,2017-03-12 10:44:36-05:00,4.0,11469.0,19.32,10,Sunday,8-11,2017,3
1173433,2456,2017-03-12 10:45:09-05:00,5.0,11034.0,20.41,10,Sunday,8-11,2017,3
1173454,2229,2017-03-12 10:50:16-05:00,5.0,11849.0,21.09,10,Sunday,8-11,2017,3
1173472,153,2017-03-12 10:53:35-05:00,5.0,5758.0,12.83,10,Sunday,8-11,2017,3
1173478,458,2017-03-12 10:49:48-05:00,5.0,4016.0,13.59,10,Sunday,8-11,2017,3
1173480,3402,2017-03-12 10:52:20-05:00,4.0,10463.0,19.76,10,Sunday,8-11,2017,3
